key_resp.keys,key_resp.corr,tilt,,hit,miss,fa,cr,,,
up,1,0,,1,,,,,,
up,0,-2,,,,1,,,,
up,1,0,,1,,,,,,
up,0,-1,,,,1,,,,
up,1,0,,1,,,,,,
up,1,0,,1,,,,,,
up,1,0,,1,,,,,,
up,1,0,,1,,,,,,
down,1,3,,,,,1,,,
down,1,-5,,,,,1,,,
up,1,0,,1,,,,,,
up,0,-2,,,,1,,,,
up,0,1,,,,1,,,,
up,0,-3,,,,1,,,,
up,1,0,,1,,,,,,
up,1,0,,1,,,,,,
up,1,0,,1,,,,,,
up,0,2,,,,1,,,,
up,1,0,,1,,,,,,
up,0,0,,1,,,,,,
up,0,-3,,,,1,,,,
up,0,0,,1,,,,,,
up,0,-1,,,,1,,,,
down,1,-4,,,,,1,,,
up,1,0,,1,,,,,,
down,1,3,,,,,1,,,
up,0,1,,,,1,,,,
up,1,0,,1,,,,,,
down,1,-4,,,,,1,,,
up,0,0,,1,,,,,,
up,1,0,,1,,,,,,
up,1,0,,1,,,,,,
up,1,0,,1,,,,,,
down,1,3,,,,,1,,,
up,0,-1,,,,1,,,,
down,1,-4,,,,,1,,,
down,1,-3,,,,,1,,,
up,1,0,,1,,,,,,
up,1,0,,1,,,,,,
up,0,2,,,,1,,,,
up,0,-3,,,,1,,,,
up,1,0,,1,,,,,,
down,1,4,,,,,1,,,
down,1,2,,,,,1,,,
down,1,-5,,,,,1,,,
up,1,0,,1,,,,,,
up,1,0,,1,,,,,,
down,1,-5,,,,,1,,,
up,1,0,,1,,,,,,
down,1,-4,,,,,1,,,
up,0,4,,,,1,,,,
up,1,0,,1,,,,,,
up,1,0,,1,,,,,,
up,0,0,,1,,,,,,
up,0,-2,,,,1,,,,
up,1,0,,1,,,,,,
up,1,0,,1,,,,,,
down,1,-5,,,,,1,,,
up,1,0,,1,,,,,,
down,1,4,,,,,1,,,
up,0,-1,,,,1,,,,
up,1,0,,1,,,,,,
up,0,-1,,,,1,,,,
up,1,0,,1,,,,,,
up,1,0,,1,,,,,,
up,1,0,,1,,,,,,
up,1,0,,1,,,,,,
down,0,0,,,1,,,,,
up,0,1,,,,1,,,,
down,1,-5,,,,,1,,,
down,1,1,,,,,1,,,
down,0,0,,,1,,,,,
up,1,0,,1,,,,,,
down,1,4,,,,,1,,,
down,0,0,,,1,,,,,
up,0,2,,,,1,,,,
down,1,-5,,,,,1,,,
up,1,0,,1,,,,,,
up,1,0,,1,,,,,,
up,0,1,,,,1,,,,
up,1,0,,1,,,,,,
up,1,0,,1,,,,,,
up,0,0,,1,,,,,,
up,0,2,,,,1,,,,
up,1,0,,1,,,,,,
up,1,0,,1,,,,,,
up,0,1,,,,1,,,,
up,1,0,,1,,,,,,
up,1,0,,1,,,,,,
up,0,-1,,,,1,,,,
up,1,0,,1,,,,,,
up,1,0,,1,,,,,,
up,0,-1,,,,1,,,,
up,1,0,,1,,,,,,
up,0,0,,1,,,,,,
up,1,0,,1,,,,,,
up,1,0,,1,,,,,,
up,0,4,,,,1,,,,
up,1,0,,1,,,,,,
down,0,0,,,1,,,,,
,,,,,,,,,,
,,,,53,4,24,19,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,hit,53,,prop hit,hit/hit+miss,0.929824561,,
,,,miss,4,,prop fa,fa/fa+cr,0.558139535,,
,,,fa,24,,,,,,
,,,cr,19,,dprime,1.328231721,,,
,,,,,,c,-0.664115861,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,HIT,48
,,,,,,,,,MISS,14
,,,,,,,,,FA,26
,,,,,,,,,CR,12
