study_word,test,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time
ice,,,,,,,,
toxic,,,,,,,,
college,,,,,,,,
mental,,,,,,,,
numb,,,,,,,,
friendship,,,,,,,,
health,,,,,,,,
mismatched,,,,,,,,
drinking,,,,,,,,
,_oo_,moon,[0.005555555555555556],[-0.3],[1],[0],[0],[2.977364199992735]
,_c_,ice,[0.005555555555555556],[-0.3],[1],[0],[0],[4.425761600024998]
,ca_v_n,carvan,[0.005555555555555556],[-0.3],[1],[0],[0],[2.869803800014779]
,s_r_ss,stess,[0.005555555555555556],[-0.3],[1],[0],[0],[2.8839231000165455]
,n_m_,numb,[0.005555555555555556],[-0.3],[1],[0],[0],[2.4357900000177324]
,p__s,pass,[0.005555555555555556],[-0.3],[1],[0],[0],[1.9043107000179589]
,h_a_t_,health,[0.005555555555555556],[-0.3],[1],[0],[0],[6.902480399992783]
,m_n_a_,mental,[0.005555555555555556],[-0.3],[1],[0],[0],[2.219756399979815]
,c_l_e_e,college,[0.005555555555555556],[-0.3],[1],[0],[0],[2.624852299981285]
,f_i_n_s_i_,friendship,[0.005555555555555556],[-0.3],[1],[0],[0],[4.254199700022582]
,a_x_e_y,anxiety,[0.005555555555555556],[-0.3],[1],[0],[0],[4.6278148999554105]
,m_s_a_c_e_,mismatched,[0.005555555555555556],[-0.3],[1],[0],[0],[2.776207600021735]
,d_i_k_n_,drinking,[0.005555555555555556],[-0.3],[1],[0],[0],[2.5827233999734744]
,t_x_c,toxic,[0.005555555555555556],[-0.3],[1],[0],[0],[2.261878599994816]
,,,,,,,,
,,prop hit from study list,9,0.09,,9,/9,
,,prop hit for non primed words,4,0.04,,4,/5,
,,,,,,,,
,,priming score,,0.05,,,,
